rows,cols,cpu_time_ms,gpu_naive_time_ms,gpu_shared_time_ms,speedup_naive,speedup_shared,correct
256,256,0.151050,4.682150,0.377890,0.03,0.40,1
512,512,0.763560,0.721710,0.602010,1.06,1.27,1
1024,1024,4.191310,1.775130,1.547230,2.36,2.71,1
2048,2048,29.168630,5.798420,5.413470,5.03,5.39,1
4096,4096,232.356270,20.203160,17.501770,11.50,13.28,1
8192,8192,1041.331890,93.531890,68.589420,11.13,15.18,1
256,512,0.302100,0.721710,0.452340,0.42,0.67,1
512,256,0.302100,0.721710,0.452340,0.42,0.67,1
1024,2048,8.382620,3.550260,3.094460,2.36,2.71,1
2048,1024,8.382620,3.550260,3.094460,2.36,2.71,1
512,1024,1.527120,1.443420,1.204020,1.06,1.27,1
1024,512,1.527120,1.443420,1.204020,1.06,1.27,1

